/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/EthanolLevel/EthanolLevel_TRAIN,20,1,5,4,2,2,1,20,1,5,4,2,2,1
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FaceAll/FaceAll_TRAIN,20,1,20,19,18,17,16,20,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FaceFour/FaceFour_TRAIN,11,1,20,19,17,16,14,11,1,20,19,17,16,14
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FacesUCR/FacesUCR_TRAIN,15,1,20,19,18,17,16,15,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FiftyWords/FiftyWords_TRAIN,11,1,19,18,17,15,14,11,1,19,18,17,15,14
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/Fish/Fish_TRAIN,20,1,13,10,7,5,4,20,1,13,10,7,5,4
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FordA/FordA_TRAIN,20,1,20,19,18,17,16,20,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FordB/FordB_TRAIN,20,1,20,19,18,17,16,20,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FreezerRegularTrain/FreezerRegularTrain_TRAIN,11,1,11,8,6,5,5,11,1,11,8,6,5,5
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/FreezerSmallTrain/FreezerSmallTrain_TRAIN,12,1,9,7,5,4,4,12,1,9,7,5,4,4
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GestureMidAirD1/GestureMidAirD1_TRAIN,9,1,15,12,11,10,8,9,1,15,12,11,10,8
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GestureMidAirD2/GestureMidAirD2_TRAIN,9,1,16,14,12,11,9,9,1,16,14,12,11,9
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GestureMidAirD3/GestureMidAirD3_TRAIN,9,1,16,14,12,11,9,9,1,16,14,12,11,9
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GesturePebbleZ1/GesturePebbleZ1_TRAIN,20,1,20,19,18,17,16,20,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GesturePebbleZ2/GesturePebbleZ2_TRAIN,11,1,20,19,17,16,15,11,1,20,19,17,16,15
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GunPoint/GunPoint_TRAIN,15,1,11,9,7,5,4,15,1,11,9,7,5,4
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GunPointAgeSpan/GunPointAgeSpan_TRAIN,10,1,14,12,9,7,6,10,1,14,12,9,7,6
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GunPointMaleVersusFemale/GunPointMaleVersusFemale_TRAIN,19,1,14,11,9,7,6,19,1,14,11,9,7,6
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/GunPointOldVersusYoung/GunPointOldVersusYoung_TRAIN,14,1,15,12,9,7,6,14,1,15,12,9,7,6
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/Ham/Ham_TRAIN,20,1,20,19,18,16,15,20,1,20,19,18,16,15
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/HandOutlines/HandOutlines_TRAIN,20,1,10,7,5,4,3,20,1,10,7,5,4,3
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/Haptics/Haptics_TRAIN,20,1,18,16,13,11,9,20,1,18,16,13,11,9
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/Herring/Herring_TRAIN,20,1,14,10,7,5,3,20,1,14,10,7,5,3
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/HouseTwenty/HouseTwenty_TRAIN,20,1,20,19,18,17,16,20,1,20,19,18,17,16
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/InlineSkate/InlineSkate_TRAIN,12,1,16,13,10,8,6,12,1,16,13,10,8,6
/Users/chunwei/research/TimeSeriesDB/UCRArchive2018/InsectEPGRegularTrain/InsectEPGRegularTrain_TRAIN,8,1,16,13,10,9,7,8,1,16,13,10,9,7
